page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
ICI Ottawa Gatineau,iciottawagatineau,152856822182,#152856822182,574,210882,"367,4",oui
Choisis de Jesus,Choisis.de.Jesus,163874703802336,#163874703802336,573,213058,"371,8",non
TVA Québec,tvaquebec,122398244448311,#122398244448311,570,215829,"378,6",oui
Les Archives de Radio-Canada,ArchivesRadioCanada,7084906051,#7084906051,569,425588,748,non
Ben loisirs,bensaleck,348814345772328,#348814345772328,569,265786,"467,1",non
TPL Moms,TPLmoms,1425186647722474,#1425186647722474,568,441750,"777,7",non
ICI Musique,icimusique,199030580136438,#199030580136438,567,321719,"567,4",non
Nouvèlpam Rezonòdwès,rezonodwes1,321503011359205,#321503011359205,567,298914,"527,2",non
HABS ET LNH,HABSETLNH,278462962249988,#278462962249988,565,171268,"303,1",non
Canada's Car Import,canadacarimport,1561071474203149,#1561071474203149,562,240855,"428,6",non
ICI Gaspésie-Les-Îles,icigaspesieilesdelamadeleine,226135530782200,#226135530782200,562,234403,"417,1",oui
Soutien aux Policiers Québec / Canada,soutienpolice,445060555522928,#445060555522928,559,396634,"709,5",non
Le Soleil de Châteauguay,JournalLeSoleildeChateauguay,275463874404,#275463874404,559,165782,"296,6",oui
Radio Woroworo,RADIOWOROWORO,293949284002867,#293949284002867,556,782443,"1407,3",non
Le 15-18,Le1518,493770360693544,#493770360693544,553,171825,"310,7",oui
Vivons le moment présent,vivonslemomentpresent,153443714678619,#153443714678619,550,504138,"916,6",non
Tout un matin,toutunmatin,1387489814797612,#1387489814797612,549,200189,"364,6",non
Journal Le Reflet,JournalLeRefletGraviteMedia,102471329717,#102471329717,546,194226,"355,7",oui
Katherine-Roxanne Veilleux,maigrirsansfaim,318304571591,#318304571591,545,440382,808,non
Greenpeace Québec,greenpeaceqc,76593129867,#76593129867,542,382544,"705,8",non
Spotted à Gatineau,Spottedagatineau,534566916597159,#534566916597159,539,179004,"332,1",non
Nathalie DaSilva,NathalieDasilvaOfficiel2,110774177115863,#110774177115863,531,122469,"230,6",non
Nightlife.ca,nightlife.ca,117598938255504,#117598938255504,528,287862,"545,2",non
ICI Bas-Saint-Laurent,icibassaintlaurent,243777932386097,#243777932386097,528,227016,430,oui
Paul St-Pierre Plamondon,pspp.quebec,1733587916919572,#1733587916919572,519,310591,"598,4",non
François Lemay,Francoislemayconferencier,1448893498664482,#1448893498664482,518,563161,"1087,2",non
ÉNERGIE 106.1,estrie1061,110797446613,#110797446613,517,205472,"397,4",non
"FM Charlevoix - CIHO 96,3",CIHOFM,101619366699027,#101619366699027,517,135707,"262,5",oui
QUÉBÉCOIS,QuebecoisCom,281373965620841,#281373965620841,514,638410,1242,non
Journal Mobiles,JournalMobiles,309470448515,#309470448515,513,195327,"380,8",oui
Savourer par Geneviève O'Gleman,savourermag,755840654802264,#755840654802264,510,233455,"457,8",non
Concours & Buzz Québec,ConcoursDuQuebec,202722009839529,#202722009839529,506,159481,"315,2",non
Canal Vie,canalvie,165358048424,#165358048424,501,255694,"510,4",non
"102,7 Rouge",1027Rougefm,237940496245823,#237940496245823,497,244887,"492,7",non
Ricardo Cuisine,ricardocuisine,72128548261,#72128548261,494,752572,"1523,4",non
Clique du plateau,lacliqueduplateau,533637420019867,#533637420019867,493,222987,"452,3",non
Maison Jacynthe,maisonjacynthe,155964624556377,#155964624556377,489,234961,"480,5",non
Chalets Nordik,ChaletsNordik,108678027188578,#108678027188578,488,454726,"931,8",non
La Terre de chez nous,laterreca,330389168569,#330389168569,481,188652,"392,2",oui
Justin Trudeau,JustinPJTrudeau,21751825648,#21751825648,480,6973554,"14528,2",non
Saviez-vous que ?,SaviezVousQueOfficiel,329304790529597,#329304790529597,480,481820,"1003,8",non
"Radio X - CHOI 98,1",radioxquebec,103399319745858,#103399319745858,480,355573,"740,8",non
Spotted : St-Hyacinthe,spotsthya,1488288984717579,#1488288984717579,477,147576,"309,4",non
Ayoye OMG QC,AyoyeOMGQC,100818131257,#100818131257,470,107259,"228,2",non
Deux filles le matin,2filleslematin,348194330970,#348194330970,466,403249,"865,3",non
L'abc du maquillage Académie par Marilyn Pellerin,labcdumaquillageacademie,141121899377891,#141121899377891,464,588358,1268,non
O Fil du Coeur,Ofilducoeur,376355843091424,#376355843091424,464,430684,"928,2",non
Liberal Party of Canada | Parti libéral du Canada,LiberalCA,60266912006,#60266912006,462,280059,"606,2",non
CIUSSS MCQ,ciusssmauriciecentreduquebec,522383267928280,#522383267928280,461,196857,427,non
Robert Savoie,robertsavoieconferencier,219452838154137,#219452838154137,459,259726,"565,9",non
Info Dimanche,infodimanche,176907966183,#176907966183,459,122768,"267,5",non
Je suis une maman,jesuisunemaman,100044223499886,#100044223499886,458,294958,644,non
La Fabrique culturelle,LaFabriqueculturelle.tv,609519979104006,#609519979104006,458,144245,"314,9",non
Les Affaires,la.lesaffaires,100306918236,#100306918236,457,147097,"321,9",oui
FIQ - Santé,FIQSante,254599681602,#254599681602,456,205530,"450,7",non
Rythme 100.1,fm.rythmemusicale,104523882938940,#104523882938940,454,196502,"432,8",non
Ahmed Hussen,HonAhmedHussen,601205023335874,#601205023335874,454,138180,"304,4",non
TVA Abitibi-Témiscamingue,tvaabitibi,145458018925308,#145458018925308,446,186825,"418,9",oui
Le Nord-Côtier,LeNordCotier,254400736372,#254400736372,446,116848,262,oui
Kabylie wiki,KabylieWiki,1604401266502443,#1604401266502443,445,218057,490,non
Échantillons Gratuits au Québec,echantillons.gratuits.quebec,1703111353294284,#1703111353294284,444,151618,"341,5",non
"95,7 KYK",957KYK,117228977327,#117228977327,442,174992,"395,9",non
Taddart nneɣ,VillagesdeKabylie,602606506546988,#602606506546988,440,254091,"577,5",non
Balle Courbe,BalleCourbe,1500645286866994,#1500645286866994,439,128200,292,non
Promo Musique Nigérienne,PromoMusiqueNiger,273249463097523,#273249463097523,438,256988,"586,7",non
Radio-Canada Science,radiocanada.science,1093913860657127,#1093913860657127,433,218977,"505,7",oui
HHQc.com,hiphopquebec,147070428662133,#147070428662133,433,170963,"394,8",non
ICI Côte-Nord,icicotenord,165824360177331,#165824360177331,433,156646,"361,8",oui
"WKND 91,9",wknd919,407408322634553,#407408322634553,431,418259,"970,4",non
Journal Le Manic,LeManicJournal,207875915892151,#207875915892151,430,107936,251,oui
Le spotted de Saint Jean sur Richelieu & environs,Lespottedofficiel,1400611480262378,#1400611480262378,428,162049,"378,6",non
L'Avantage,lavantageqcca,311812224673,#311812224673,427,153908,"360,4",oui
Eglise Nouvelle Vie,eglisenouvellevie,104390753550,#104390753550,427,143597,"336,3",non
Les 2 Rives,journalles2rives,133524939991445,#133524939991445,427,133662,313,oui
Sucré Salé,sucresaleTVA,122880981066732,#122880981066732,426,315800,"741,3",non
Jimmy Sévigny,JimmySevigny.CoachMotivateur,449353528453102,#449353528453102,425,472305,"1111,3",non
Gabriel Nadeau-Dubois,GNadeauDubois,398795723813002,#398795723813002,421,720253,"1710,8",non
ÉNERGIE 102.3,mauricie1023,120535889618,#120535889618,420,166851,"397,3",non
Queen Fumi,queenfumiofficiel,100044184021620,#100044184021620,419,712755,"1701,1",non
Ministère Paul Mukendi,ministerepaulmukendi,223709914358082,#223709914358082,418,1223633,"2927,4",non
Coalition Avenir Québec,coalitionavenir,142211119175286,#142211119175286,418,198879,"475,8",non
