page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Le Cavalier Romand,LeCavalierRomand,179660088829933,#179660088829933,347,25903,"74,6",non
Château de Prangins,chateaudeprangins,117038768401283,#117038768401283,342,4438,13,non
ALDI SUISSE,aldi.ch.fr,862752127113477,#862752127113477,341,79162,"232,1",non
Parti socialiste des Montagnes neuchâteloises,psmne.ch,856903547727619,#856903547727619,340,2565,"7,5",non
Quatre Pattes Suisse,quatrepattes.suisse,108365977228253,#108365977228253,340,74979,"220,5",non
KOKORO lingua,kokorolingua,262369327446233,#262369327446233,338,8884,"26,3",non
Ligue suisse des droits de l'Homme,lsdh.ch,145234645574435,#145234645574435,338,1811,"5,4",non
Les Vert.e.s Ville de Genève,lesvert.e.svilledegeneve,100513788093677,#100513788093677,336,5731,"17,1",non
Le Zoo / Usine (Officiel),zoousine,511317925550235,#511317925550235,336,7691,"22,9",non
Vincent Arlettaz,ArlettazVincent,692001657599783,#692001657599783,334,9317,"27,9",non
Know your worth,KnowyourworthbyEdem,100053763943112,#100053763943112,333,3888,"11,7",non
EF France - Séjour Linguistique,EFFrance,147624519375,#147624519375,330,3373,"10,2",non
Etat de Vaud,EtatdeVaud,369043143700084,#369043143700084,329,24703,"75,1",non
Equilibre Nuithonie,equilibre.nuithonie,830578870294443,#830578870294443,328,4686,"14,3",non
Health and Environment Program,healthandenvironmentprogram,372071952857064,#372071952857064,328,543,"1,7",non
PEA - Pour l'Égalité Animale,PEAasso,631735796921099,#631735796921099,328,23064,"70,3",non
Croix-Rouge suisse,CroixRougeSuisse,154292844598575,#154292844598575,326,5024,"15,4",non
RTS Info Fribourg,fribourg.rts,355854571228974,#355854571228974,325,8932,"27,5",oui
PS Ville de Genève,psgeneve,145436862727,#145436862727,323,13106,"40,6",non
Vins Vaudois,VinsVaudois,188956891153871,#188956891153871,323,13675,"42,3",non
Alternative Populaire Suisse.CH,alternativepopulairesuisse,723843994388867,#723843994388867,321,10679,"33,3",non
Laténium,Latenium,270208666330664,#270208666330664,319,19156,"60,1",non
Suisse.,MySwitzerlandCHF,483173718521430,#483173718521430,318,31312,"98,5",non
Chambre vaudoise du commerce et de l'industrie (CVCI),cci.vaud,108471975894983,#108471975894983,316,1803,"5,7",non
RTS Jura-Berne,rtsjuraberne,697118027066273,#697118027066273,315,16156,"51,3",oui
Blue Sports Romandie,swisscom.bluesports,402445349826966,#402445349826966,314,19050,"60,7",non
TempsLibre.ch,tempslibre.ch,244282752343516,#244282752343516,314,5395,"17,2",oui
Ville de Lancy,villedelancy,605793896249781,#605793896249781,313,10837,"34,6",non
Marathon des Alpes-Maritimes Nice-Cannes,marathonnicecannes,102647059783452,#102647059783452,312,25366,"81,3",non
sept.info,sept.info,596400870444188,#596400870444188,312,5116,"16,4",oui
Trust Nature,trustmynature,108167684046791,#108167684046791,311,426302,"1370,7",non
Mise au point,miseaupoint,140550792637950,#140550792637950,310,259210,"836,2",oui
Espace Colibri,espace8colibri,409800449379851,#409800449379851,309,3399,11,non
Greenpeace Suisse,greenpeacesuisse,522918337722554,#522918337722554,309,16693,54,non
Spiritualité,spiritualiteinfo,253914928071568,#253914928071568,309,14535,47,non
GastroNeuchâtel,Gastroneuchatel,399118846849168,#399118846849168,308,7842,"25,5",non
Martigny Art City - Office de tourisme et Ville de Martigny,martignyartcity,383820101785733,#383820101785733,307,10613,"34,6",non
Météo Robin,meteorobinmetrailler,306083246511240,#306083246511240,307,423473,"1379,4",non
UDC Suisse,UDCch,212297922293183,#212297922293183,305,92143,"302,1",non
Grand Théâtre de Genève,GrandTheatreGeneve,24697226526,#24697226526,304,24783,"81,5",non
WWF Suisse,WWFSuisse,128207683859147,#128207683859147,304,16816,"55,3",non
Rts Neuchâtel,rts.neuchatel,751420978280985,#751420978280985,303,14917,"49,2",oui
PLR Ville de Genève,plrvilledegeneve,420981081355766,#420981081355766,302,7188,"23,8",non
Team FAJR,Salat.on.time,237647796428256,#237647796428256,302,113000,"374,2",non
Emil Frey Genève Les Acacias,emilfrey.geneveacacias,1695615060676176,#1695615060676176,301,2829,"9,4",non
Economie Politique du Bien-Etre Social,EconomieBienEtre,1699006597032188,#1699006597032188,300,360210,"1200,7",non
Globus,globusSuisse,1603840976538016,#1603840976538016,300,3124,"10,4",non
Hôpital du Valais - Spital Wallis,hopitalduvalais,150564764978991,#150564764978991,299,35774,"119,6",non
Musée international d'horlogerie,museeinternationaldhorlogerie,152207561508489,#152207561508489,296,4368,"14,8",non
Extinction Rebellion Neuchâtel,XRNeuchatel,297486090939471,#297486090939471,295,5008,17,non
Suisse.,MySwitzerlandFR,712663865531216,#712663865531216,293,243598,"831,4",non
Youtube Pytagus Videos,pytagus,866427520131867,#866427520131867,293,595,2,non
Team Genève,teamgeneve,1380159948898692,#1380159948898692,293,3702,"12,6",non
Radio Canal 3 - français,canal3bienne,420258024755885,#420258024755885,291,3192,11,non
mood joaillerie,moodjoaillerie,389375761220953,#389375761220953,291,25414,"87,3",non
TRIAL International,trial.org,100283003347299,#100283003347299,291,1620,"5,6",non
Le Quotidien Jurassien,QuotidienJurassien,141584022623331,#141584022623331,290,10295,"35,5",non
Couleur3,couleur3,6682129502,#6682129502,286,222134,"776,7",non
Musée d'art et d'histoire de Genève,mahgeneve,322089177861697,#322089177861697,284,6956,"24,5",non
Ambassade de Suisse en Algérie,AmbassadeSuisseAlger,481960425340225,#481960425340225,282,28865,"102,4",non
GE-environnement,geenvironnement,1112914952084754,#1112914952084754,280,36277,"129,6",non
Etat de Fribourg - Staat Freiburg,Etat.Fribourg,444307582318379,#444307582318379,279,27308,"97,9",non
Alternatiba Léman,alternatiba.leman,1571740073046993,#1571740073046993,277,11196,"40,4",non
Les Diablerets - Switzerland,diablerets,135907036439843,#135907036439843,277,25068,"90,5",non
Migros,migrosFR,1708240255953592,#1708240255953592,277,124786,"450,5",non
Veepee,VeepeeCH,80657691940,#80657691940,276,294,"1,1",non
Caritas Vaud,caritas.vaud.ch,259289377415037,#259289377415037,275,4120,15,non
Les archives de la RTS,lesarchivesdelaRTS,331173876933294,#331173876933294,273,1565395,5734,non
KING ÉRIC,ApotreKingeric,140957693239632,#140957693239632,272,350124,"1287,2",non
Association 360,association360,1616841901872529,#1616841901872529,271,3067,"11,3",non
Boulangerie Clément,boulangerie.clement,1000152093336131,#1000152093336131,271,15040,"55,5",non
Sophie de Quay,sophiedequayofficiel,173866972691925,#173866972691925,271,16397,"60,5",non
PLR.Vevey,PLR.Vevey,258888184292511,#258888184292511,270,1573,"5,8",non
Luc Barthassat,lucbarthassatpdc,698992283449252,#698992283449252,269,2662,"9,9",non
PetAlert 86 Vienne,petalert86.fr,124730971478121,#124730971478121,269,4741,"17,6",non
Swiss Basketball,swissbasketball,105496509534337,#105496509534337,268,9811,"36,6",non
Valais Wallis,valaiswallis,262398087114024,#262398087114024,263,138312,"525,9",non
Editions Zoé,editionszoe,228425643918,#228425643918,262,5749,"21,9",non
Police Jurassienne,police.jurassienne,247723478579192,#247723478579192,262,28679,"109,5",non
Parti Socialiste du Valais Romand,PSValaisRomand,455298471202135,#455298471202135,262,4224,"16,1",non
Extinction Rebellion Genève,XRgeneve,710242999391793,#710242999391793,262,8205,"31,3",non
Suisse.,MySwitzerlandCA,110823489274193,#110823489274193,259,16393,"63,3",non
Back2Noize Radio,Back2Noize,131092736946509,#131092736946509,258,2834,11,non
Union Neuchâtel Basketball,unionneuchatel,197160223699951,#197160223699951,257,10130,"39,4",non
La Communauté de l'Oracle,lacommunautedeloracle,109126960604353,#109126960604353,256,961,"3,8",non
Cinémathèque suisse,Cinemathequesuisse,108956859175213,#108956859175213,253,11742,"46,4",non
Cocooning biocosmetics,Cocooningbiocosmetics,111829899010506,#111829899010506,252,6687,"26,5",non
Radio Chablais,radiochablais,158597064158692,#158597064158692,252,11896,"47,2",non
SOS MEDITERRANEE Suisse,sosmedsuisse,742439262614882,#742439262614882,252,14575,"57,8",non
PetAlert 81 Tarn,petalert81.fr,125678431516174,#125678431516174,251,4244,"16,9",non
Ambassade de Suisse au Maroc,AmbassadeSuisseRabat,511876815860113,#511876815860113,249,12066,"48,5",non
Touring Club Suisse,tcs.suisse,1822995274601110,#1822995274601110,249,9677,"38,9",non
Ambassade de Suisse en Tunisie / سفارة سويسرا في تونس,AmbassadeSuisseTunis,339946533105283,#339946533105283,247,15084,"61,1",non
