page,pseudo,fbid,fbid#,nb,interactions,intMoyennes,média
Athénée Comines,atheneecomines,277155255800274,#277155255800274,281,12033,"42,8",non
DECO idées,DECOidees.magazine,173570092719065,#173570092719065,281,2836,"10,1",non
Syndicat D'initiative Comines Warneton,comineswarnetonsidec,1869389766606744,#1869389766606744,280,4722,"16,9",non
Beci Brussels,beci.brussels,408119956043956,#408119956043956,279,11691,"41,9",non
Réseau Citoyen,LeReseauCitoyen,157281088337849,#157281088337849,279,7570,"27,1",non
Centre culturel de Genappe,centreculturelgenappe,109621499121041,#109621499121041,279,6385,"22,9",non
Colruyt Laagste Prijzen - Meilleurs Prix,Colruyt,143382932470522,#143382932470522,278,53723,"193,2",non
Commune de Neupré,CommuneDeNeupre,400793073324743,#400793073324743,278,16426,"59,1",non
Un Faux Graphiste,unfographiste,336179763224723,#336179763224723,277,258220,"932,2",non
Soleil Noir / Black Sun,Soleilnoirblacksun,377044592649605,#377044592649605,276,15389,"55,8",non
Zone de Police Nivelles-Genappe,PoliceNivellesGenappe,235987363541661,#235987363541661,275,130290,"473,8",non
Cliniques de l'Europe - Europa Ziekenhuizen,europehospitals,1122663487851778,#1122663487851778,275,84843,"308,5",non
Le Forem,LeForem,109138232445766,#109138232445766,275,40638,"147,8",non
Ville de Herve,VilledeHerve,296768527182768,#296768527182768,275,24508,"89,1",non
Groupe Henry Mercedes-Benz,groupehenrymercedesbenz,569502996400824,#569502996400824,275,8900,"32,4",non
VBC Waremme,waremmevbc,180216725490842,#180216725490842,275,7125,"25,9",non
Weenect,WeenectFR,108128367561974,#108128367561974,274,43946,"160,4",non
Ville de Malmedy,CommunedeMalmedy,2058264520948241,#2058264520948241,274,22177,"80,9",non
ICI PARIS XL België/Belgique,iciparisxlbe,36467660938,#36467660938,274,16131,"58,9",non
Jardins et Loisirs - RTBF,JardinsEtLoisirs,399484543452677,#399484543452677,273,157382,"576,5",non
MDR (Mort De Rire),mdrfou,26459868933,#26459868933,273,137042,502,non
André Flahaut,blogflahaut,141112572669852,#141112572669852,273,45071,"165,1",non
WoWo Community,wonderfulwomenwowo,491619827570953,#491619827570953,273,6672,"24,4",non
Fanny Ruwet,FannyRuwet,100044172379248,#100044172379248,272,124062,"456,1",non
Femme dominante,woman.dominante,100755011273843,#100755011273843,271,426315,"1573,1",non
Crisiscentrum / Centre de Crise,CrisiscenterBE,139402110689,#139402110689,271,47424,175,non
Transparencia,transparenciaBE,1100531570030618,#1100531570030618,271,33322,123,non
Olivier Terwagne,olivierterwagne.be,172264132928924,#172264132928924,271,21434,"79,1",non
Philippe Jauniaux,jjauniaux.philippe,696502600535543,#696502600535543,270,32845,"121,6",non
Blogsquetia Frameries,blogsquetia.frameries,340967316067747,#340967316067747,270,8753,"32,4",non
Région Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest,RegionBruxelloise.BrusselsGewest,177686852310635,#177686852310635,270,4294,"15,9",non
Geneviève Isaac,genevieve.isaac.ps.8,2316290000000000,#2316292245101670,270,3812,"14,1",non
La Nouvelle Gazette Sports Centre,LaNouvelleGazetteSportsCentre,454731698590800,#454731698590800,270,3129,"11,6",oui
Bénédicte Linard,benedicte.linard,109617560619207,#109617560619207,269,48500,"180,3",non
Anthox Colaboy / Youtube et twitch,AnthoxColaboyYoutube,100044441436114,#100044441436114,269,16621,"61,8",non
Citadelle de Namur,citadellenamur,121525214525825,#121525214525825,269,15481,"57,6",non
Athénée Royal de Soumagne,ARSoumagne,143213243099768,#143213243099768,268,23830,"88,9",non
Gilles Foret,PageGillesForet,172029539986110,#172029539986110,268,17650,"65,9",non
Vielsalm - page officielle,vielsalmpageofficielle,262181910516145,#262181910516145,268,10047,"37,5",non
Antoine Armedan,antoinearmedan,344647302224405,#344647302224405,267,39749,"148,9",non
La Cité des Anges decoration,citedesangesuccle,521695847970287,#521695847970287,267,26887,"100,7",non
Commune de Dison,communedison,1258887157558652,#1258887157558652,267,11408,"42,7",non
Royal Orée,RoyalOree,201749119932648,#201749119932648,267,5979,"22,4",non
ADL Awans,AdlAwans,295574953804011,#295574953804011,267,4097,"15,3",non
"Michel Januth, Bourgmestre de Tubize",micheljanuth,109792119160875,#109792119160875,266,13839,52,non
Groupe MR Chambre des représentants,mrchambre,315323465190187,#315323465190187,266,8497,"31,9",non
Durbuy Commerces,DurbuyCommerces,1778311799154276,#1778311799154276,266,3742,"14,1",non
Eden,eden.charleroi,419526631433734,#419526631433734,265,24625,"92,9",non
ZP Semois et Lesse,zonedepoliceSemoisetLesse,1807213856216692,#1807213856216692,265,17671,"66,7",non
La vie du bon côté - VivaCité RTBF,LaVieDuBonCote,149310765094055,#149310765094055,265,14482,"54,6",non
Tendances Première - La Première RTBF,TendancespremiereRTBF,107842177470492,#107842177470492,265,8200,"30,9",non
Be tv,Betv.FanPage,110937492299491,#110937492299491,264,12412,47,non
Police locale de Mouscron,policelocalemouscron,456469821065875,#456469821065875,263,60029,"228,2",non
Floralux Dadizele FR,FloraluxFR,179654192093435,#179654192093435,263,51799,197,non
Yves Rocher Belgique,yvesrocher.belgique,356943367311,#356943367311,263,13000,"49,4",non
Charles Gardier,gardiercharles,543853315748666,#543853315748666,262,12803,"48,9",non
1082 Berchem - Page officielle/Officiële pagina,1082berchem,904028366278248,#904028366278248,262,9150,"34,9",non
Parc Auderghem Hockey Club,parchockeyclub,895645933779714,#895645933779714,262,4919,"18,8",non
Pierre-emmanuel Alias PE,PEjennar,100044311542107,#100044311542107,261,113737,"435,8",non
Van der Valk Congres Hotel Mons & Spa,congreshotelmons,876094139091503,#876094139091503,261,17895,"68,6",non
Child Focus,ChildFocusBelgium,311374992213625,#311374992213625,260,82132,"315,9",non
Croix-Rouge de Belgique,CroixRougeBe,209210135757984,#209210135757984,260,51392,"197,7",non
Manchester Devils,manchesterdevils,16590766779,#16590766779,260,32375,"124,5",non
Eclessia,EclessiaNET,866343636794590,#866343636794590,260,19267,"74,1",non
Rudi Vervoort,vervoortrudi,75793785999,#75793785999,260,15989,"61,5",non
Visit Liège,visitliege,759232660780641,#759232660780641,259,17828,"68,8",non
Livresse du Noir,livressedunoir,340289256302748,#340289256302748,259,12407,"47,9",non
Les Scouts,lesscouts,131508411242,#131508411242,258,43776,"169,7",non
Gerpinnes - Administration Communale,6280gerpinnes,484146195123072,#484146195123072,258,9087,"35,2",non
Chroniques d'une accro au resto,accroauresto,100044344783470,#100044344783470,257,293991,"1143,9",non
CAP48 - RTBF,cap48,125111730851930,#125111730851930,257,152045,"591,6",non
Victoria Benelux,victoriabenelux,124764237614690,#124764237614690,257,36597,"142,4",non
Fédé PS de Charleroi,fedeps.decharleroi,933376160013291,#933376160013291,257,11909,"46,3",non
RCS Verlaine,rcsverlaine,1917198038523976,#1917198038523976,257,4180,"16,3",non
Tou gâté,drisaa,100050569567639,#100050569567639,256,1075289,"4200,3",non
Lagui+,lagui224,470242763715179,#470242763715179,256,120651,"471,3",non
Hugues Bayet,HBayet,538840262914740,#538840262914740,256,62329,"243,5",non
Video Game Center,videogamecenter.be,303082581488,#303082581488,256,26252,"102,5",non
Le Souffle de Maradi,ElKaougeMahamaneLawaly,2065560803519343,#2065560803519343,255,34675,136,non
BPS22,bps22.charleroi,863930520299662,#863930520299662,255,14746,"57,8",non
Administration communale de Libramont-Chevigny,communelibramontchevigny,305813593257655,#305813593257655,254,23621,93,non
aRtyjoy by RDG,artyjoybyrdg,2666921160045974,#2666921160045974,254,4111,"16,2",non
PlayerOne.be,www.playerone.be,124503410918853,#124503410918853,253,101518,"401,3",non
PTB Liège,PTB.Liege,138659832930357,#138659832930357,253,19423,"76,8",non
Maison des Cultures Molenbeek,maison.molenbeek,368085456606938,#368085456606938,252,6465,"25,7",non
Ben Heine,benheineart,45292293615,#45292293615,251,131326,"523,2",non
Extra,extrashop.be,1640832446144878,#1640832446144878,251,38199,"152,2",non
Futsal PC Depannage Courcelles,futsalcourcellesasbl,1433300526931163,#1433300526931163,251,3298,"13,1",non
Thierry Janssen,thierry.janssen.edlpj,100044303595547,#100044303595547,250,203342,"813,4",non
Groupe PS du Parlement de Wallonie,socialistespw,195680180477472,#195680180477472,249,14630,"58,8",non
Quoi de neuf - VivaCité RTBF,quoideneufvivacite,1503133469927423,#1503133469927423,249,9751,"39,2",non
Médecins Du Monde Belgique,MedecinsDuMondeBelgique,365952313470327,#365952313470327,248,37014,"149,3",non
Nivelles Commerces,nivellescommerces,393126564052764,#393126564052764,248,7088,"28,6",non
Euractiv France,Euractiv.fr,159258590934455,#159258590934455,248,3242,"13,1",non
Nous les Turcs,TeamNLT,1056457781107397,#1056457781107397,247,158496,"641,7",non
1070 Anderlecht,anderlecht.brussels,370283643360080,#370283643360080,247,22953,"92,9",non
MR Fédération Wallonie-Bruxelles,MRFWB,1774239976220652,#1774239976220652,247,4169,"16,9",non
UCLouvain Sports,uclouvainsports,122161137865144,#122161137865144,246,12118,"49,3",non
Proximus Pickx,ProximusPickx,141776749219980,#141776749219980,245,48664,"198,6",non
Province de Liège,provincedeliege,1393220000000000,#1393221890942710,245,19457,"79,4",non
Association Commerciale et Industrielle d’Arlon (ACIA),commercantsarlonais,378446718899711,#378446718899711,245,12626,"51,5",non
Administration communale de Theux,administrationcommunaledetheux,344124902848728,#344124902848728,245,12022,"49,1",non
SalamWeb Français,SalamWeb.fr,105205801197737,#105205801197737,244,100679,"412,6",non
Medical Component Be,MedicalComponentBe,264732473693145,#264732473693145,244,24165,99,non
Anne Sophie,AnneSophieStore,121515121083,#121515121083,244,22345,"91,6",non
Reptile Univers,reptileuniversbelgique,225081967558702,#225081967558702,244,9370,"38,4",non
RAEC Mons,raecmons44.be,236669653021475,#236669653021475,243,41808,172,non
Opéra Royal de Wallonie-Liège,operaliege,189283431101052,#189283431101052,243,31966,"131,5",non
Les Hérissés,lesherisses,150435309172993,#150435309172993,243,16418,"67,6",non
Eric Bott,ericbott1200,218496671506458,#218496671506458,243,11307,"46,5",non
Office du Tourisme de Couvin,tourisme.couvin,214389038738316,#214389038738316,243,6652,"27,4",non
Ouestfrance-auto,ouestfranceauto,412522012091204,#412522012091204,243,2314,"9,5",oui
Data News,DataNewsFR,189702150949,#189702150949,243,2151,"8,9",oui
ASVi: Tramway historique Lobbes-Thuin,asvithuin,599103793502027,#599103793502027,242,35151,"145,3",non
Commune d'Uccle / Gemeente Ukkel,uccle1180ukkel,459019400969236,#459019400969236,242,26676,"110,2",non
UNHCR Belgium,UNHCR.BE,948453825344452,#948453825344452,242,10010,"41,4",non
Ludivine Dedonder,dedonderPS,1571079079797471,#1571079079797471,241,64011,"265,6",non
Comment Osent-ils ?,CommentOsentils,496617810408086,#496617810408086,241,31029,"128,8",non
Ville de Lessines,VilleLessines,1021972657874448,#1021972657874448,241,12434,"51,6",non
TN2 & bina,ChaudFroidTunisie,609546992482604,#609546992482604,241,4760,"19,8",non
Maison du Tourisme du Pays De Herve,MaisonDuTourismeDuPaysDeHerve,402252166503672,#402252166503672,239,4768,"19,9",non
La Louvière Centre-Ville,lalouvierecentre,246670015364290,#246670015364290,238,9931,"41,7",non
Jbc,jbcfashion,132892573400355,#132892573400355,238,7164,"30,1",non
Ma culture plus,maculture.plus,100044566833591,#100044566833591,237,50000,211,non
Nissan,nissanbelux,382953378413344,#382953378413344,237,33736,"142,3",non
Page Severine Muntshwa Sevastro,sevastromuntshwa,1776390259311017,#1776390259311017,237,17730,"74,8",non
Province de Namur,provincedenamur,72720348756,#72720348756,237,16167,"68,2",non
Commune de Mont Saint Guibert,montsaintguibert.be,557305974339587,#557305974339587,237,10565,"44,6",non
Police de Bruxelles Nord - Politie Brussel Noord,ZPZ5344,1891372250945304,#1891372250945304,237,9511,"40,1",non
Geoffroy Coomans de Brachène,GeoffroyCoomansdeBrachene,7330608985,#7330608985,236,10809,"45,8",non
La Libre Hockey,LaLibreHockey,1847444925472421,#1847444925472421,235,15842,"67,4",non
VOO Liège Basket,Vooliege.basket,418055734908071,#418055734908071,235,12698,54,non
Les Audacieuses by f.a.r,lesaudacieusesbyfar,469208646469054,#469208646469054,235,6698,"28,5",non
Hotel Van der Valk Luxembourg,nieuwstehotelvandervalk,1441746939458582,#1441746939458582,235,6501,"27,7",non
Centre Culturel René Magritte,CentreculturelLessines,321034614607374,#321034614607374,235,6436,"27,4",non
J'habite à Chastre - La page,jhabiteachastre,116756241821005,#116756241821005,234,7504,"32,1",non
Commune de Villers-le-Bouillet,communedevillerslebouillet,928828047195243,#928828047195243,234,6849,"29,3",non
Ville de Binche,villedebincheofficiel,1874346539483417,#1874346539483417,233,51684,"221,8",non
Nawal Ben Hamou,nawalbenhamou,1679805302238979,#1679805302238979,233,23260,"99,8",non
Intermarché,intermarche.beyne.heusay,374235129408814,#374235129408814,233,21871,"93,9",non
Centre Belge de la Bande Dessinée,MuseedelaBD,171239076221632,#171239076221632,233,13205,"56,7",non
Geekland Liège,Geeklandliege,1314932501993396,#1314932501993396,233,7634,"32,8",non
Culture à Virton,culture.virton.9,1024749750892936,#1024749750892936,233,5316,"22,8",non
Je deconne.fr,jedeconne.fr,749520451870927,#749520451870927,232,208790,900,non
Brussels Basketball,BrusselsBasket,522198221201822,#522198221201822,232,15220,"65,6",non
Philippe Henry,PhilippeHenryEcolo,376493959151704,#376493959151704,232,13140,"56,6",non
Bernard Clerfayt,ClerfaytBernard,38895484698,#38895484698,232,10757,"46,4",non
Commune de Floreffe,communedefloreffe,824221467725274,#824221467725274,232,10329,"44,5",non
Les Frères Taloche,FreresTaloche,100044220409669,#100044220409669,230,568202,"2470,4",non
MLS Conakry,Benze32,924306824304527,#924306824304527,230,44688,"194,3",non
Christine Defraigne,chrisdefraigne,219217814777365,#219217814777365,230,15289,"66,5",non
Administration communale de Hamois,administrationhamois,331590560303506,#331590560303506,230,6267,"27,2",non
RAS Jodoigne Official,rasjod,187404241350840,#187404241350840,230,3769,"16,4",non
Philippe Close,closephilippe,467344056705679,#467344056705679,229,61488,"268,5",non
Belgische Unie - Union Belge,BelgUni,399712536898887,#399712536898887,229,44747,"195,4",non
A votre avis - RTBF,QRRTBF,156083411075499,#156083411075499,229,44380,"193,8",oui
Intradel,intradel,503088446379610,#503088446379610,229,37082,"161,9",non
Province de Liège Tourisme,tourisme.provincedeliege,145325715650088,#145325715650088,229,14908,"65,1",non
Commune de Sprimont,CommuneSprimont,536129433172034,#536129433172034,229,14509,"63,4",non
ISPPC - CHU de Charleroi,CHUCharleroi,326888590699115,#326888590699115,228,164746,"722,6",non
Les Dad's Imparfaits,Dadsimparfait,139008600203716,#139008600203716,227,101661,"447,8",non
Autoclassic.be,autoclassicbe,370625653320965,#370625653320965,227,25313,"111,5",non
Ville d'Ath,athville,177778445598200,#177778445598200,227,24261,"106,9",non
Administration communale de Quaregnon,AdminQuaregnon,349445801827531,#349445801827531,227,18651,"82,2",non
Commune de Waterloo,1410Waterloo,203709433035104,#203709433035104,227,15214,67,non
Etterbeek,1040etterbeek,1415258588784147,#1415258588784147,227,10205,45,non
Intermarché,intermarchegozee,424982444362336,#424982444362336,227,6128,27,non
Ville de Namur (Page officielle),Ville.de.Namur,194159770631658,#194159770631658,226,25272,"111,8",non
AFGolf - Association Francophone belge de Golf,AFG.Golf,279390048798362,#279390048798362,226,15607,"69,1",non
Bulle De Detente,bullededetentemainvault,730056190405082,#730056190405082,226,7849,"34,7",non
Administration communale de Paliseul,administrationcommunaledePaliseul,251012311980078,#251012311980078,226,7451,33,non
Critérium Africain,oscargalanight,184563335220028,#184563335220028,226,7278,"32,2",non
Intermarché,IntermarcheMarcheEnFamenne,332510200267395,#332510200267395,226,5394,"23,9",non
Malmedy Infos,MalmedyInfos,211406248895272,#211406248895272,226,2567,"11,4",non
Chelsea - FrenchClub,FrenchCFC,452604881778734,#452604881778734,225,181591,"807,1",non
Kairos,kairospresse,157089411084184,#157089411084184,225,152254,"676,7",non
Ville d'Ottignies Louvain-la-Neuve,VilledeOLLN,104513641248804,#104513641248804,225,6872,"30,5",non
Ecolo Mons,ecolo.mons,184684811578171,#184684811578171,225,4658,"20,7",non
Nu Skin France,NuSkinFrance,187874817958618,#187874817958618,224,30280,"135,2",non
Commune de Chastre,communedechastre,394322623953940,#394322623953940,224,8604,"38,4",non
Soliverdi Espace Vert Jardins et Espaces verts Seraing et Liège,espacevertseraing,1711916692363068,#1711916692363068,224,6122,"27,3",non
Tourisme de Viroinval,OTViroinval,1493660470920546,#1493660470920546,224,4876,"21,8",non
"Jodoigne, vos commerçants réunis",jodoignecommerce,298376446894475,#298376446894475,223,3256,"14,6",non
Sara De Paduwa,sara.depaduwa,100044176056954,#100044176056954,222,565582,"2547,7",non
Viva For Life - RTBF,vivaforlife,218644584843510,#218644584843510,222,186257,839,non
Marie Arena,mariearenaPS,109149719130331,#109149719130331,222,13685,"61,6",non
C.s. Entité Manageoise,csemanageoise,753278818074041,#753278818074041,221,14228,"64,4",non
Les Belges du bout du monde - La Première RTBF,belgesduboutdumonde,339401227203,#339401227203,221,13649,"61,8",non
Julie Chanson,ChansonJulie,309947989103928,#309947989103928,221,4885,"22,1",non
Fédération Francophone du Yachting Belge,FFYBasbl,108667255979063,#108667255979063,221,4059,"18,4",non
SOS Faim,sosfaim,278916445349,#278916445349,220,16456,"74,8",non
Little Green Box,Littlegreenbox.be,1747304328927201,#1747304328927201,220,10140,"46,1",non
J&JOY,jandjoybrand,312806007041,#312806007041,220,9533,"43,3",non
Jouons Malin,jouonsmalin,478283598997787,#478283598997787,220,7985,"36,3",non
Abbaye de Villers (Villers-la-Ville),abbayedevillers,312572212031,#312572212031,219,26190,"119,6",non
Resto du Coeur de Quiévrain,restoducoeurdequievrain,655174167872727,#655174167872727,219,5520,"25,2",non
Lifestyle lalibre.be,lifestylelalibre.be,102199723159250,#102199723159250,219,4847,"22,1",non
Le Geek Farceur,geekfarceur,755697851237088,#755697851237088,218,208080,"954,5",non
CHU Tivoli,chutivoli,835406746486624,#835406746486624,218,81972,376,non
Les Cigarettes Russes Créations,LesCigarettesRussesCreations,401681056533040,#401681056533040,218,10178,"46,7",non
Christos Doulkeridis - Bourgmestre d'Ixelles,christosdoulkeridis,26596304653,#26596304653,218,9832,"45,1",non
Emin Ozkara,ozkaraemin,467415843751253,#467415843751253,218,3512,"16,1",non
M.Pokora Fan Club Officiel Belge,mpokorabe,127619317258424,#127619317258424,217,258990,"1193,5",non
Marie Meunier,MarieMeunierMons,344329409075116,#344329409075116,217,65514,"301,9",non
Vresse-sur-Semois Tourisme,vressesursemois.tourisme,1070637219752952,#1070637219752952,217,18088,"83,4",non
Zone de Police de Wavre,zonedepolicedewavre,1469430410026495,#1469430410026495,217,14064,"64,8",non
Commune de Saint-Gilles - Gemeente Sint-Gillis (Officiel),communesaintgilles,193920784058360,#193920784058360,217,13069,"60,2",non
Le salon MADE IN ASIA,LeSalonMadeInAsia,158248754848,#158248754848,216,76605,"354,7",non
Zone de police Mons/Quévy,PoliceMonsQuevy,387089491380417,#387089491380417,216,36755,"170,2",non
Domaine provincial de Chevetogne Officiel - Province de Namur,DomaineChevetogne,864182523651852,#864182523651852,216,27063,"125,3",non
Bibliothèque Nivelles,bibliotheque.nivelles,828868510503113,#828868510503113,216,3435,"15,9",non
Veritas,VeritasEU,144518608926292,#144518608926292,215,31687,"147,4",non
Wallonie Belgique Tourisme en France,TourismeWallonieBelgique,185545614791949,#185545614791949,215,14816,"68,9",non
Technofutur TIC,technofuturtic,56570787065,#56570787065,215,11439,"53,2",non
Andenne Basket,AndenneBasket,554823674579887,#554823674579887,215,4732,22,non
VOO&vous,VOOetvous,190938174385153,#190938174385153,214,29319,137,non
Slow cosmétique,slowcosmetique,146308028798006,#146308028798006,214,12449,"58,2",non
Big Bang Empire Coronavirus Communauté de Soutien et d’Information,coronavirusbig,101265701576187,#101265701576187,213,5304,"24,9",non
Benjamin Debroux,benjamindebroux,133884193921887,#133884193921887,213,3158,"14,8",non
ONU France et Monaco,ONUFranceMonaco,195105437283860,#195105437283860,213,3149,"14,8",non
Marc Tabuley - Le Thermomètre,stylechretien,337113109640660,#337113109640660,212,105955,"499,8",non
DJ DADDY K,DJDADDYKBELGIUM,23107729811,#23107729811,212,59598,"281,1",non
Château d'Hélécine,ChateauHelecine,356035364750647,#356035364750647,212,34212,"161,4",non
David Leisterh,leisterhdavid,290536231471445,#290536231471445,212,16740,79,non
Péruwelz Football Club 9540,peruwelzfootballclub,152345048118169,#152345048118169,212,12091,57,non
Commune de Hastière,CommuneHastiere,675409725956711,#675409725956711,212,8761,"41,3",non
Théâtre National Wallonie-Bruxelles,tn.wallonie.bruxelles,212300232170393,#212300232170393,212,6758,"31,9",non
Street Punchline,StreetPunchline,763137674071890,#763137674071890,211,1116388,"5290,9",non
Alors on Change,AlorsOnChangeOfficiel,443762375681078,#443762375681078,211,43641,"206,8",non
TotalFootball FrenchClub,TotalFootballFrenchClub,196461010417000,#196461010417000,211,36789,"174,4",non
HEC Liège,HECLiege,147072925338568,#147072925338568,211,8585,"40,7",non
Tourisme Coeur de l'Ardenne,TourismeCoeurdelArdenne,380913632006092,#380913632006092,210,5068,"24,1",non
Nicolas Martin,PS.nicolasmartin,868640886531043,#868640886531043,209,246476,"1179,3",non
Intermarché Belgique,intermarchebelgique,117245205044659,#117245205044659,209,113556,"543,3",non
Destination Brabant wallon,destinationbw,507728419283539,#507728419283539,209,10003,"47,9",non
Patrick Dupriez,patrickdupriezecolo,279568489054605,#279568489054605,209,9661,"46,2",non
Ville de Waremme,villedewaremme,568824153252176,#568824153252176,209,8657,"41,4",non
Atelier Théâtre Jean Vilar,AtelierTheatreJeanVilar,542779782432128,#542779782432128,209,6701,"32,1",non
Al-Hadîth Editions & librairie,AlHadithEditions,562474417152307,#562474417152307,209,6147,"29,4",non
Maison Culture de Tournai,maisonculturetournai,150953401641243,#150953401641243,209,4093,"19,6",non
Gregory Wathelet,gregorywathelet,100044256978171,#100044256978171,208,227613,"1094,3",non
Karine Lalieux,LalieuxKarine,1520851034620904,#1520851034620904,208,22671,109,non
Coucou Charles,coucoucharles,634935146707159,#634935146707159,207,289442,"1398,3",non
LR en ligne,LrEnLigne,324328411029504,#324328411029504,207,8213,"39,7",non
Commune d'Erezée,Erezee,767038630035541,#767038630035541,207,5503,"26,6",non
Mouvement Présence et Action Culturelles,mouvement.pac,958710644172240,#958710644172240,207,4203,"20,3",non
Cyclisme Revue,CyclismeRevue,143405021620,#143405021620,207,2801,"13,5",non
Central - La Louvière,cestcentral,978967535453631,#978967535453631,206,8536,"41,4",non
Commune d'Estinnes,estinnes.officiel,389544317843803,#389544317843803,206,5493,"26,7",non
GAL Culturalité en Hesbaye brabançonne,galculturalite,1445454075754275,#1445454075754275,206,4333,21,non
Parole vivante,cherifromeo1gmailcom,1640691892832792,#1640691892832792,205,343122,"1673,8",non
Intermarché,intermarche.auvelais,1015250000000000,#1015245245189520,205,11631,"56,7",non
Jeny Bsg,JenyBsg,1169948279762864,#1169948279762864,204,6042002,"29617,7",non
"Humour, Blagues et vidéos marrantes",humournathaliewinnie,286339491404095,#286339491404095,204,26761,"131,2",non
Ice-Watch,ice.watch.france,286633281701179,#286633281701179,204,11578,"56,8",non
Jeunes cdH,jeunes.cdh.1,307808479407829,#307808479407829,204,7695,"37,7",non
Basket Namur Capitale,BasketNamurCapitale.be,523585101096082,#523585101096082,204,5236,"25,7",non
Pranarôm aromathérapie scientifique,aromatherapie.pranarom,34332193066,#34332193066,203,115027,"566,6",non
Apaq-W,apaqw.be,369631463169738,#369631463169738,203,16919,"83,3",non
RFC Tilleur - site officiel,rfctilleur,1459301017633599,#1459301017633599,203,6321,"31,1",non
Habay - La ville à la campagne,habaylavillealacampagne,182325451890037,#182325451890037,203,4814,"23,7",non
Abattoirs de Bomel / Centre culturel de Namur,CentreCulturelNamur,315727795258675,#315727795258675,203,4063,20,non
Mansour le Guisen,mansourdelaguisen,105190594170106,#105190594170106,202,6562487,"32487,6",non
VINZ,vinzofficial,160167964035126,#160167964035126,202,38813,"192,1",non
MYA BAY,MyaBayBelgium,466664246698465,#466664246698465,202,18943,"93,8",non
Maison Moshart,liebershondache,100050434211937,#100050434211937,202,9948,"49,2",non
Court-Circuit,courtcircuitasbl,119392791420880,#119392791420880,202,5238,"25,9",non
Génération Disney,GenerationDisneyy,107470792788492,#107470792788492,201,13379,"66,6",non
Le Feel de Diane,lefeeldediane,2293939000927619,#2293939000927619,201,6048,"30,1",non
Mammouth,mammouth.media.ihecs,352786691555083,#352786691555083,201,4389,"21,8",non
Images à l'appui - RTL TVI,imagesalappui,1023076491043076,#1023076491043076,200,267650,"1338,3",non
Michel De Maegd,mdemaegd,402910770265916,#402910770265916,200,65186,"325,9",non
Leslie en cuisine,leslieencuisine,304645183056068,#304645183056068,200,27122,"135,6",non
Face à la crise,Facealacrise,473284479386239,#473284479386239,200,19060,"95,3",non
CrossFit Wavre,crossfitwavre,1424140254465442,#1424140254465442,200,3560,"17,8",non
Rive Gauche Charleroi,ShoppingRiveGauche,1281277505298825,#1281277505298825,199,40147,"201,7",non
Commune de Welkenraedt,communedewelkenraedt,1436401446630683,#1436401446630683,199,13205,"66,4",non
FC Saint Josse,footballclubsaintjosse,347720835295134,#347720835295134,199,5458,"27,4",non
Valérie Glatigny,V.Glatigny,387721968487506,#387721968487506,198,19497,"98,5",non
Musée royal de Mariemont,museeroyalmariemont,140297810226,#140297810226,198,17663,"89,2",non
Thomas & Piron,thomasetpiron,140820072725741,#140820072725741,198,11342,"57,3",non
Commune de Plombières,communeplombieres,314663535229995,#314663535229995,198,10332,"52,2",non
Centre culturel de Pont-à-Celles,ccpac.be,456910677678402,#456910677678402,198,4901,"24,8",non
Alain Maron,AlainMaronEcolo,108148930584601,#108148930584601,197,15320,"77,8",non
Noyau Compassion International,evangelisonsensemble,755619224543988,#755619224543988,197,11254,"57,1",non
"Libramont, plus qu'un flamant rose, c'est un état d'esprit.",libramontetatdesprit,293267357493624,#293267357493624,197,4904,"24,9",non
Ligue des Droits de L'Enfant,ligue.droitsdelenfant,437882799706239,#437882799706239,197,2290,"11,6",non
Que faire dans le Brabant Wallon? Quefaire.be,quefairebrabantwallon,1503684389925029,#1503684389925029,197,1114,"5,7",non
Baba jamal 0fficiel,Babajamalofficiel,979369255469459,#979369255469459,196,198593,"1013,2",non
Caroline Désir,CarolineDesir,100050161763802,#100050161763802,196,137338,"700,7",non
Fluidebook,fluidebook,58269939555,#58269939555,196,56819,"289,9",non
Ville de Walcourt,VilledeWalcourt,1751102331822262,#1751102331822262,196,6335,"32,3",non
Maison du Tourisme Terres-de-Meuse,terres.de.meuse,493978623950631,#493978623950631,196,6274,32,non
Foyer socioculturel d'Antoing,FoyersocioculturelAntoing,1698403760434499,#1698403760434499,196,3214,"16,4",non
"Toi, ma petite folie.",Toi.ma.petite.folie,804493416382014,#804493416382014,195,161031,"825,8",non
Délégation France insoumise au Parlement Européen,DFIeurope,343764016318953,#343764016318953,195,13795,"70,7",non
Ville d'Enghien,EnghienVilleParc,313585812741805,#313585812741805,195,12932,"66,3",non
Commune de Gesves,gesves.be,333460560097629,#333460560097629,195,7535,"38,6",non
La Ferme du Parc,LaFermeduParc7870,184069955491996,#184069955491996,195,5311,"27,2",non
Top Women,lesalondelafemmecastingtopwomen,549067765175349,#549067765175349,194,45845,"236,3",non
Adl Anhée,adlanhee,1793965767584823,#1793965767584823,194,6826,"35,2",non
Ville de Chièvres,Villedechievres,358961504492093,#358961504492093,194,6783,35,non
Comac Louvain la Neuve,comac.louvainlaneuve,1461641550776395,#1461641550776395,194,6226,"32,1",non
Musée d'Ixelles - Museum van Elsene,museedixelles,376660239040027,#376660239040027,194,6108,"31,5",non
Ice-Watch,ice.watch.belgium,537552586433240,#537552586433240,194,5018,"25,9",non
