page,pseudo,fbid,fbid#,nb,interactions,intMoyennes,média
L'Avenir Brabant Wallon,lavenirBW,261514480596009,#261514480596009,1342,30895,23,oui
Coin des filles,Perdredupoi,115845743154881,#115845743154881,1297,615930,"474,9",non
NRJ Belgique,nrj.be,30571654249,#30571654249,1283,2092252,"1630,7",non
Vladimir Poutine - Fan Club -,GlobalPublicPolicyAnalysis,1622900000000000,#1622902177937370,1283,404650,"315,4",non
Juventus France,Juventus.France1,149034341795924,#149034341795924,1270,981552,"772,9",non
Proximus Sports,ProximusSports,148488381855449,#148488381855449,1264,361530,286,non
GAEL Magazine,Gael.Magazine,193713617307964,#193713617307964,1260,71196,"56,5",non
DH Brabant Wallon,derniereheure.brabantwallon,459603900797773,#459603900797773,1243,57636,"46,4",oui
Psychologies,PsychologiesBelgique,1469774549707849,#1469774549707849,1240,31219,"25,2",non
Raoul Hedebouw,raoul.hedebouw.be,181975318662681,#181975318662681,1233,1343479,"1089,6",non
Eric Goffart,egoffart,513151945468933,#513151945468933,1230,42745,"34,8",non
Standard News,StandardLiegenews,1742592159089024,#1742592159089024,1222,115055,"94,2",non
MXMag.be,mxmag.be,303714763301,#303714763301,1196,86253,"72,1",non
DH RADIO,dhradioleplaisirdelamusique,1467102626850545,#1467102626850545,1187,2212334,"1863,8",non
RTL TVI,RTLTVI,183245446684,#183245446684,1178,1232251,"1046,1",non
On n'est pas des pigeons - RTBF,OnNestPasDesPigeons,190910580929961,#190910580929961,1165,577735,"495,9",non
Les trésors de Lore,LESTRESORSDELORE,100053793426973,#100053793426973,1163,71316,"61,3",non
Ville de Wavre,Ville.de.Wavre,282199968515037,#282199968515037,1156,60618,"52,4",non
Comment Osent-ils ? ACTU,commentosentilsACTU,962705537124407,#962705537124407,1150,110305,"95,9",non
Le 8/9 - VivaCité RTBF,VivaciteLe89,262427543782816,#262427543782816,1143,420532,"367,9",oui
7FM,7fmradio,198554040263596,#198554040263596,1142,84781,"74,2",non
DH - Anderlecht,dhanderlecht,1850987805142494,#1850987805142494,1140,129895,"113,9",oui
Samuel Movie,ActeurSamuelMovie,109849077087798,#109849077087798,1128,4527459,"4013,7",non
100% Afrika BUZZ,100afrikabuzzofficiel,2112737118796124,#2112737118796124,1108,221174,"199,6",non
Sonuma - Les archives audiovisuelles,sonuma.be,190710307619169,#190710307619169,1092,76071,"69,7",non
Boutiques Tournesol & Le Baron (QStore GStar),BoutiquesTournesolLeBaronqStoreGStar,323662391060353,#323662391060353,1087,259065,"238,3",non
Radio Contact,RadioContact,194038183842,#194038183842,1080,2074737,"1921,1",non
"TV Com, Votre télévision en Brabant wallon",TVCom.be,125904864106546,#125904864106546,1071,40778,"38,1",oui
La Capitale Brabant wallon,LaCapitaleBrabantWallon,451601928221997,#451601928221997,1067,11656,"10,9",oui
Ville de Nivelles - page officielle,villedenivelles,300152356614,#300152356614,1061,74798,"70,5",non
Goûte Mes Disques,goutemesdisques,39935694953,#39935694953,1049,29274,"27,9",non
Secours Rouge,secoursrouge,772562726139379,#772562726139379,1046,43991,"42,1",non
Gourmandiz,DHgourmandiz,458575214520187,#458575214520187,1034,44656,"43,2",non
Pairi Daiza,JardinDesMondes,181634965236091,#181634965236091,1032,4637333,"4493,5",non
Geeko,lesoir.geeko,159575414056256,#159575414056256,1032,15475,15,oui
Le Vif Weekend,levifweekend,73741991288,#73741991288,1023,30525,"29,8",oui
LaProvince Sports,LaProvinceSports,190401207676613,#190401207676613,1018,21634,"21,3",oui
Barcelone Naomie Android,barcelonaomieOfficielle,370828776670270,#370828776670270,1008,776336,"770,2",non
Bel RTL,BelRTL,169449309753828,#169449309753828,1001,867634,"866,8",non
Mon Quran et moi,monquranetmoi,795394923878430,#795394923878430,999,39521,"39,6",non
Antenne Centre,antennecentre,189775344404351,#189775344404351,996,210404,"211,2",oui
Canal C Télévision,TV.CanalC,198250250244694,#198250250244694,994,163764,"164,8",non
ODP news,odpnews,103069987780371,#103069987780371,991,133214,"134,4",oui
Cristiano Ronaldo - France,Ronaldo7France,100718897202724,#100718897202724,987,1942312,"1967,9",non
Police de Charleroi,policedecharleroi,1406156026306716,#1406156026306716,978,140746,"143,9",non
Le Petit Aubois,lepetitaubois,684136718283706,#684136718283706,977,467953,479,non
La Libre Eco,LaLibreEco,376290286341931,#376290286341931,975,13446,"13,8",oui
Voitures abandonnée dans le monde,barnfindsworld,372062832956830,#372062832956830,972,112744,116,non
INFO CONGO RDC,infocongordc,1518789021570905,#1518789021570905,968,87369,"90,3",non
DH - Diables,dhdiables,767946160051959,#767946160051959,966,182565,189,oui
Test Achats,TestAchats,418504043274,#418504043274,959,65061,"67,8",non
Cuisine TastyGourmandise,tastygourmandise,100044153123697,#100044153123697,955,76014,"79,6",non
Juventus-fr.com,juventusfr,175480579128796,#175480579128796,946,895103,"946,2",non
Juste Crepin GONDO Officiel,Influenceurpositif,658121124556098,#658121124556098,940,1182251,"1257,7",non
Mamy Kongossa,Kongossamag,216970678427115,#216970678427115,940,23711,"25,2",non
UConfessions,UConfessions2015,967219966645066,#967219966645066,932,778089,"834,9",non
Royal Charleroi Sporting Club,rcsc.be,404035136366186,#404035136366186,926,260001,"280,8",non
Qui se cache derrière l'étoile de midi,etoilemystere,1562323820662765,#1562323820662765,922,317117,"343,9",non
Book Village,bookvillageapp,841658722875669,#841658722875669,911,952364,"1045,4",non
David Antoine,DavidAntoine,100044617860970,#100044617860970,906,3249951,"3587,1",non
PTB,ptbbelgique,53838654385,#53838654385,904,2138859,2366,non
Ville de Mons - Page officielle,VilledeMons,127094867357659,#127094867357659,900,130613,"145,1",non
RTBF Culture,RTBFculture,472276826127161,#472276826127161,900,15320,17,oui
Silence animal,PourLesSansVoixProtectionAnimale,152309811615158,#152309811615158,886,84951,"95,9",non
La Libre Débats,LaLibreDebats,128866544401102,#128866544401102,872,12500,"14,3",oui
Palestine Solidarité,Palestine.Rescue,1556300000000000,#1556299521334980,872,12013,"13,8",non
Coronavirus pandemia,coronaviruspand,109248844062572,#109248844062572,871,39137,"44,9",non
Giuseppe Terenzio,guiterenzio,295700223960690,#295700223960690,870,853278,"980,8",non
DH Pays Vert,dhpaysvert,681589625632053,#681589625632053,866,26546,"30,7",oui
Le Sentier du Muslim,keitaYahya01,179984972659476,#179984972659476,856,109500,"127,9",non
Archeologie - revue de presse archeologique,ARCHEOLOGIE.archeostage,323825419269,#323825419269,843,149857,"177,8",non
Decovry.fr - Be the first to discover,DECOVRY.fr,353001508101607,#353001508101607,842,42308,"50,2",non
Tarmac,TarmacRTBF,248622428945978,#248622428945978,836,3624764,"4335,8",non
Sociologie Des Afro,sociologiedesafro,335106537283711,#335106537283711,835,393340,"471,1",non
Juventus Belgique,JuveBelgique,2226616760903535,#2226616760903535,830,1097722,"1322,6",non
Amour éternel,amoureternel16,940718695975789,#940718695975789,829,575203,"693,9",non
L'Officiel Belgique,lofficielbelgique,764717627229362,#764717627229362,828,29833,36,non
CaféDéclic Humour,CafeDeclicHumour,183348825080486,#183348825080486,827,151200,"182,8",non
Ce que la France vous cache. Les Tabous français.,cequelafrancevouscache,1150763295043908,#1150763295043908,821,90220,"109,9",non
"Poudlard, plus qu'une maison",PoudlardPQM,356521241394116,#356521241394116,816,941711,"1154,1",non
Jodoigne Forum,Jodoigneforum,174654473454150,#174654473454150,816,54134,"66,3",non
Dossier Paranormal,Solyne15,500848080289553,#500848080289553,809,11831,"14,6",non
Télé MB,telemb,260899357339358,#260899357339358,808,97527,"120,7",non
Luc Michel Page I,Pcn.luc.Michel,321184994682592,#321184994682592,807,23552,"29,2",non
Fun Radio,funradioBE,712418522223410,#712418522223410,801,301708,"376,7",non
Complètement Foot - VivaCité RTBF,VivaciteCompletementFoot,115810141830140,#115810141830140,800,80211,"100,3",non
Les images qui brisent ton enfance,LesImagesQuiBrisentTonEnfance,1469183569983608,#1469183569983608,792,486956,"614,8",non
