page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Jean-Luc Mélenchon,JLMelenchon,11450328749,#11450328749,872,5752083,"6596,4",non
M6,M6,422256495276,#422256495276,870,10106366,"11616,5",non
"Provence, encore, provence toujours",loupiot13250,1597169217237175,#1597169217237175,868,1312781,"1512,4",non
CANAL+ Afrique,canalplusafrique,161525660574388,#161525660574388,866,4326593,"4996,1",non
Gouvernement,gouvernement.fr,392341217527576,#392341217527576,865,4041847,"4672,7",non
Bisous Patricia,Gigleuxpatricia,196870227511030,#196870227511030,864,589629,"682,4",non
Quoi faire à bordeaux,quoifaireabordeaux,524537160950525,#524537160950525,862,1030830,"1195,9",non
Sain et Naturel,SainetNaturel,369036169968241,#369036169968241,861,1566966,"1819,9",non
David Laroche,davidlarocheofficiel,199241863470474,#199241863470474,858,1774977,"2068,7",non
Cadeaux pour mes Ami(e)s,chantalECV34,179320428819763,#179320428819763,855,2141669,"2504,9",non
KTO Télévision Catholique,kto.television,143654702340655,#143654702340655,853,1706229,"2000,3",non
Alexandre Cormont,Alexandre.Cormont.Love.Coach,137067303103523,#137067303103523,852,1639445,"1924,2",non
Les Éclaireuses Bien-Être,leseclaireuses.bienetre,476919622516700,#476919622516700,851,1852160,"2176,5",non
Boulevard Voltaire,bvoltaire.fr,383827521682613,#383827521682613,851,685453,"805,5",non
Fan Actu Popcorns,fanactucom,394632520682137,#394632520682137,848,5248156,"6188,9",non
La République du Centre,republiqueducentre,211082695569481,#211082695569481,843,763006,"905,1",oui
Génération 80's,mageneration80,239093509627760,#239093509627760,842,10143087,"12046,4",non
Skusku,skuskumedia,422315075195528,#422315075195528,842,4566228,"5423,1",non
Radio CulturesCo,radioculturesco,156696808363975,#156696808363975,840,1109652,1321,non
Mayotte la 1ère,mayottela1ere,164350783603967,#164350783603967,839,1116395,"1330,6",oui
Mady Barhama Niass,MadyBayeNiass,239905936132264,#239905936132264,838,1426206,"1701,9",non
Lexterieur,lexterieur.net,253340744840586,#253340744840586,837,1536284,"1835,5",non
Perspicace ?,PerspicaceInfo,173775209737246,#173775209737246,835,1261885,"1511,2",non
Ecran Large,ecranlarge,193659291803,#193659291803,835,798269,956,non
Météo Nord-Pas de Calais,ChrisMeteoNordPasdeCalais,552660604765372,#552660604765372,834,802289,962,non
K9MP - Maitre De chien Bien plus qu'un métier une passion,MaitreDeChien.Metier.Passion,1635335426700802,#1635335426700802,833,1013844,"1217,1",non
Du virtuel au réel,pageduvirtuelaureel,1581740665409167,#1581740665409167,832,1032489,1241,non
Les Inrockuptibles,lesinrocks,102696798558,#102696798558,831,1254443,"1509,6",non
Gaëtan fan • CR7,GaetanToutSimple,100044442493622,#100044442493622,830,3071892,"3701,1",non
Bio à la Une,bioalaune,285673703227,#285673703227,829,1669032,"2013,3",non
Sudouest.fr Charente-Maritime,SOCharenteMaritime,390839634291607,#390839634291607,829,957789,"1155,4",oui
Nord Littoral,nordlitt,344969675415,#344969675415,826,843884,"1021,7",oui
Champagne FM,champfm,151084901583816,#151084901583816,825,920996,"1116,4",non
La Vie de l’Auto,LVA.auto,133959977626,#133959977626,824,1436328,"1743,1",non
Les Mamonymous,LesMamonymous,402043373145017,#402043373145017,823,4144142,"5035,4",non
Mathilde Panot,MathildePanotFI,411320859261065,#411320859261065,823,3014662,3663,non
M6 Info,M6info,289435280465,#289435280465,822,2669115,"3247,1",oui
Seconde Chance,secondechance,220996911293053,#220996911293053,822,2269522,2761,non
Skyrock,SkyrockFM,16179605558,#16179605558,821,3445481,"4196,7",non
Force et Honneur soutien aux militaires français et leurs familles,soutienForcesArmees,1958283404415793,#1958283404415793,821,771430,"939,6",non
Humour Square,HumourSquad34,420394715182354,#420394715182354,819,1232787,"1505,2",non
Auto Plus,autoplus.fr,273769505372,#273769505372,813,1268365,"1560,1",non
France 2,france2,95750947597,#95750947597,812,6761568,"8327,1",non
Demotivateur Atelier,demotivateurAtelier,100052692800833,#100052692800833,812,4370392,"5382,3",non
EHDA Enfants Handicapés le Droit d'Apprendre,EnfantHandicap,499859956853591,#499859956853591,810,1097784,"1355,3",non
Anthony Joubert,anthonyjoubertofficiel,167752419920021,#167752419920021,809,3056132,"3777,7",non
Connaissance des Arts,cdesarts,373805796513,#373805796513,809,1202432,"1486,3",non
La Crème du Gaming,LaCremeduGaming,229260767414081,#229260767414081,808,1074811,"1330,2",non
Pet Alert Wallonie,Pet.Alert.Wallonie,447163478679473,#447163478679473,807,559788,"693,7",non
Fourchette & Bikini,fourchetteetbikini,233549786818592,#233549786818592,806,2867543,"3557,7",non
franceinfo vidéo,franceinfovideo,266677330042439,#266677330042439,806,2011315,"2495,4",oui
Infos de L'OL .,Infos.De.OL,179288838837629,#179288838837629,806,1182451,"1467,1",non
PSG Community,PSGCommunityofficiel,306187989576111,#306187989576111,804,1394192,"1734,1",non
Contact FM,radiocontactfm,48503371735,#48503371735,804,1021558,"1270,6",non
"« Omri, t'es où ? »",OmriTesOu,1471492112877147,#1471492112877147,804,581888,"723,7",non
Association des Commerçants de Sanary,acsanary,1783687745253548,#1783687745253548,803,3324916,"4140,6",non
Radio Foot Internationale - RFI,RFIRadioFootInternationale,263026217066248,#263026217066248,801,1597696,"1994,6",non
One Voice,onevoiceanimal,177757985646352,#177757985646352,799,10309383,"12902,9",non
Culture Prime,cultureprime,1839998372756212,#1839998372756212,798,3972273,"4977,8",non
Tennis Legend,TennisLegendOfficial,216844256805,#216844256805,797,2085676,"2616,9",non
Le Bonbon,lebonbon,78866176891,#78866176891,796,1474306,"1852,1",non
La Victoire des Bébés,lavictoiredesbebes,75039419537,#75039419537,794,1112669,"1401,3",non
Je suis tombée love de lui.,Jeledetestaismaismalgrecajesuistombeelovedelui,728166010600060,#728166010600060,791,3045061,"3849,6",non
Memes Décentralisés,memesdecentralisesdesecours,312641686108028,#312641686108028,789,1664865,"2110,1",non
France 3 Picardie,france3picardie,177454712310366,#177454712310366,786,880920,"1120,8",oui
TB Joshua Ministries - Français,tbjministriesfr,161281667756750,#161281667756750,786,770143,"979,8",non
Grand-Mercredi,grandmercredi,437044326465630,#437044326465630,785,1898706,"2418,7",non
France 3,france3,"1,015011879412E+016",#10150118794120018,784,7142086,"9109,8",oui
La France,fr.lafrance.fr,130886516607,#130886516607,783,1788595,"2284,3",non
La Nouvelle République,lanouvellerepublique,87693933163,#87693933163,783,1137777,"1453,1",oui
"Basta, média indépendant",journalbasta,262286559891,#262286559891,780,858690,"1100,9",oui
Canal Football Club - CFC,CFCcanal,118843008896,#118843008896,773,2783809,"3601,3",non
MIKE ECHO,moitiedemilouf,1935680623377893,#1935680623377893,773,1296989,"1677,9",non
al Nas,alnasfr,371032859659415,#371032859659415,773,723987,"936,6",non
750g : Recettes de cuisine,lapagede750grammes,55489845700,#55489845700,770,2464296,"3200,4",non
L'Aisne Nouvelle,aisnenouvelle,243674759043020,#243674759043020,770,699723,"908,7",oui
VIDEOS de POLICE .com,VIDEOSdePOLICE,119942756390,#119942756390,770,615543,"799,4",non
Corse Net Infos,Corsenetinfos,643670562333460,#643670562333460,769,792536,"1030,6",oui
Nuit Sans Folie,nsfofficiel,520124538037396,#520124538037396,767,4004064,"5220,4",non
L' éveil de l' être affranchi,leveildeletreaffranchi,426563504197776,#426563504197776,766,1051392,"1372,6",non
